,poll,poll_firm,poll_year,id,statenum,statename,region_cat,female,race_wbh,edu_cat,age_cat,age_cat6,age_edu_cat6,educ,age,democrat,republican,black,hispanic,weight,yes_of_opinion_holders,yes_of_all,state,state_initnum,region,no_of_all,no_of_opinion_holders
0,Gall2005Aug22,Gall,2005,80001,21.0,michigan,2.0,1,1.0,3.0,3.0,5.0,27.0,high school incomplete (grades 9-11),61.0,0,1,0.0,0.0,,0.0,0,MI,23.0,midwest,1.0,1.0
1,Gall2005Aug22,Gall,2005,80002,10.0,georgia,3.0,0,1.0,4.0,3.0,5.0,28.0,"business, technical, or vocational school after high school",56.0,0,0,0.0,0.0,,0.0,0,GA,11.0,south,1.0,1.0
2,Gall2005Aug22,Gall,2005,80003,31.0,new york,1.0,0,3.0,4.0,1.0,1.0,4.0,high school graduate (grade 12 or ged certificate),21.0,0,0,0.0,1.0,,1.0,1,NY,35.0,northeast,0.0,0.0
3,Gall2005Aug22,Gall,2005,80004,28.0,new hampshire,1.0,1,1.0,4.0,4.0,6.0,34.0,"business, technical, or vocational school after high school",80.0,1,0,0.0,0.0,,1.0,1,NH,31.0,northeast,0.0,0.0
4,Gall2005Aug22,Gall,2005,80005,42.0,texas,3.0,1,1.0,3.0,,,,high school incomplete (grades 9-11),,0,0,0.0,0.0,,0.0,0,TX,44.0,south,1.0,1.0
5,Gall2005Aug22,Gall,2005,80006,12.0,illinois,2.0,1,1.0,3.0,4.0,6.0,33.0,high school incomplete (grades 9-11),67.0,0,0,0.0,0.0,,0.0,0,IL,15.0,midwest,1.0,1.0
6,Gall2005Aug22,Gall,2005,80007,48.0,wisconsin,2.0,1,1.0,1.0,4.0,6.0,31.0,none or grades 1-8,73.0,1,0,0.0,0.0,,0.0,0,WI,49.0,midwest,1.0,1.0
7,Gall2005Aug22,Gall,2005,80008,42.0,texas,3.0,1,3.0,1.0,3.0,5.0,25.0,none or grades 1-8,64.0,1,0,0.0,1.0,,0.0,0,TX,44.0,south,1.0,1.0
8,Gall2005Aug22,Gall,2005,80009,41.0,tennessee,3.0,1,1.0,1.0,,,,none or grades 1-8,,0,1,0.0,0.0,,0.0,0,TN,43.0,south,1.0,1.0
9,Gall2005Aug22,Gall,2005,80010,48.0,wisconsin,2.0,0,1.0,4.0,3.0,4.0,22.0,high school graduate (grade 12 or ged certificate),53.0,0,1,0.0,0.0,,0.0,0,WI,49.0,midwest,1.0,1.0
10,Gall2005Aug22,Gall,2005,80011,16.0,kentucky,3.0,0,1.0,2.0,4.0,6.0,32.0,none or grades 1-8,67.0,0,1,0.0,0.0,,0.0,0,KY,18.0,south,1.0,1.0
