,crace_WBH,cage_cat,cedu_cat,cfemale,cstate,_freq,cfreq_state,cpercent_state,cregion
0,1,1,1,0,AK,467,21222.0,0.022005467,west
1,1,2,1,0,AK,377,21222.0,0.017764583,west
2,1,3,1,0,AK,419,21222.0,0.019743662,west
3,1,4,1,0,AK,343,21222.0,0.016162474,west
4,1,1,2,0,AK,958,21222.0,0.045141835,west
5,1,2,2,0,AK,1359,21222.0,0.06403732,west
6,1,3,2,0,AK,1000,21222.0,0.047120914,west
7,1,4,2,0,AK,211,21222.0,0.009942512,west
8,1,1,3,0,AK,718,21222.0,0.033832815,west
9,1,2,3,0,AK,1219,21222.0,0.057440393,west
10,1,3,3,0,AK,1172,21222.0,0.055225708,west
11,1,4,3,0,AK,188,21222.0,0.008858732,west
12,1,1,4,0,AK,194,21222.0,0.009141457,west
13,1,2,4,0,AK,706,21222.0,0.033267364,west
14,1,3,4,0,AK,995,21222.0,0.046885308,west
15,1,4,4,0,AK,135,21222.0,0.006361323,west
16,2,1,1,0,AK,13,21222.0,0.00061257184,west
17,2,2,1,0,AK,16,21222.0,0.0007539346,west
18,2,3,1,0,AK,5,21222.0,0.00023560456,west
19,2,4,1,0,AK,8,21222.0,0.0003769673,west
20,2,1,2,0,AK,43,21222.0,0.0020261991,west
21,2,2,2,0,AK,40,21222.0,0.0018848365,west
22,2,3,2,0,AK,22,21222.0,0.00103666,west
23,2,4,2,0,AK,1,21222.0,4.7120913e-05,west
24,2,1,3,0,AK,44,21222.0,0.00207332,west
25,2,2,3,0,AK,62,21222.0,0.0029214965,west
26,2,3,3,0,AK,29,21222.0,0.0013665064,west
27,2,4,3,0,AK,2,21222.0,9.424183e-05,west
28,2,1,4,0,AK,4,21222.0,0.00018848365,west
29,2,2,4,0,AK,16,21222.0,0.0007539346,west
30,2,3,4,0,AK,17,21222.0,0.0008010555,west
31,2,4,4,0,AK,1,21222.0,4.7120913e-05,west
32,3,1,1,0,AK,14,21222.0,0.0006596928,west
33,3,2,1,0,AK,25,21222.0,0.0011780228,west
34,3,3,1,0,AK,14,21222.0,0.0006596928,west
35,3,4,1,0,AK,4,21222.0,0.00018848365,west
36,3,1,2,0,AK,41,21222.0,0.0019319574,west
37,3,2,2,0,AK,32,21222.0,0.0015078692,west
38,3,3,2,0,AK,20,21222.0,0.00094241824,west
39,3,4,2,0,AK,2,21222.0,9.424183e-05,west
40,3,1,3,0,AK,40,21222.0,0.0018848365,west
41,3,2,3,0,AK,49,21222.0,0.0023089247,west
42,3,3,3,0,AK,16,21222.0,0.0007539346,west
43,3,4,3,0,AK,1,21222.0,4.7120913e-05,west
44,3,1,4,0,AK,3,21222.0,0.00014136273,west
45,3,2,4,0,AK,19,21222.0,0.00089529733,west
46,3,3,4,0,AK,17,21222.0,0.0008010555,west
47,3,4,4,0,AK,0,21222.0,0.0,west
48,1,1,1,1,AK,386,21222.0,0.018188672,west
49,1,2,1,1,AK,296,21222.0,0.0139477905,west
50,1,3,1,1,AK,378,21222.0,0.017811704,west
51,1,4,1,1,AK,361,21222.0,0.01701065,west
52,1,1,2,1,AK,753,21222.0,0.035482045,west
53,1,2,2,1,AK,1055,21222.0,0.04971256,west
54,1,3,2,1,AK,771,21222.0,0.036330223,west
55,1,4,2,1,AK,264,21222.0,0.012439921,west
56,1,1,3,1,AK,736,21222.0,0.034680992,west
57,1,2,3,1,AK,1301,21222.0,0.06130431,west
58,1,3,3,1,AK,1080,21222.0,0.050890584,west
59,1,4,3,1,AK,201,21222.0,0.009471304,west
60,1,1,4,1,AK,241,21222.0,0.01135614,west
61,1,2,4,1,AK,828,21222.0,0.039016116,west
62,1,3,4,1,AK,840,21222.0,0.039581567,west
63,1,4,4,1,AK,126,21222.0,0.005937235,west
64,2,1,1,1,AK,6,21222.0,0.00028272546,west
65,2,2,1,1,AK,5,21222.0,0.00023560456,west
66,2,3,1,1,AK,7,21222.0,0.0003298464,west
67,2,4,1,1,AK,8,21222.0,0.0003769673,west
68,2,1,2,1,AK,39,21222.0,0.0018377156,west
69,2,2,2,1,AK,25,21222.0,0.0011780228,west
70,2,3,2,1,AK,7,21222.0,0.0003298464,west
71,2,4,2,1,AK,4,21222.0,0.00018848365,west
72,2,1,3,1,AK,33,21222.0,0.0015549901,west
73,2,2,3,1,AK,62,21222.0,0.0029214965,west
74,2,3,3,1,AK,26,21222.0,0.0012251437,west
75,2,4,3,1,AK,1,21222.0,4.7120913e-05,west
76,2,1,4,1,AK,7,21222.0,0.0003298464,west
77,2,2,4,1,AK,14,21222.0,0.0006596928,west
78,2,3,4,1,AK,17,21222.0,0.0008010555,west
79,2,4,4,1,AK,1,21222.0,4.7120913e-05,west
80,3,1,1,1,AK,20,21222.0,0.00094241824,west
81,3,2,1,1,AK,8,21222.0,0.0003769673,west
82,3,3,1,1,AK,12,21222.0,0.00056545093,west
83,3,4,1,1,AK,4,21222.0,0.00018848365,west
84,3,1,2,1,AK,27,21222.0,0.0012722646,west
85,3,2,2,1,AK,26,21222.0,0.0012251437,west
86,3,3,2,1,AK,13,21222.0,0.00061257184,west
87,3,4,2,1,AK,0,21222.0,0.0,west
88,3,1,3,1,AK,35,21222.0,0.0016492319,west
89,3,2,3,1,AK,43,21222.0,0.0020261991,west
90,3,3,3,1,AK,20,21222.0,0.00094241824,west
91,3,4,3,1,AK,2,21222.0,9.424183e-05,west
92,3,1,4,1,AK,9,21222.0,0.0004240882,west
93,3,2,4,1,AK,25,21222.0,0.0011780228,west
94,3,3,4,1,AK,16,21222.0,0.0007539346,west
95,3,4,4,1,AK,2,21222.0,9.424183e-05,west
96,1,1,1,0,AL,2896,163670.0,0.01769414,south
97,1,2,1,0,AL,3299,163670.0,0.020156411,south
98,1,3,1,0,AL,4012,163670.0,0.02451274,south
99,1,4,1,0,AL,3809,163670.0,0.023272438,south
100,1,1,2,0,AL,3486,163670.0,0.021298956,south
101,1,2,2,0,AL,5835,163670.0,0.035651006,south
102,1,3,2,0,AL,5908,163670.0,0.036097024,south
103,1,4,2,0,AL,2641,163670.0,0.016136128,south
104,1,1,3,0,AL,4216,163670.0,0.02575915,south
105,1,2,3,0,AL,4817,163670.0,0.029431172,south
106,1,3,3,0,AL,5064,163670.0,0.030940307,south
107,1,4,3,0,AL,1741,163670.0,0.010637258,south
108,1,1,4,0,AL,1320,163670.0,0.008065009,south
109,1,2,4,0,AL,3692,163670.0,0.022557585,south
110,1,3,4,0,AL,4458,163670.0,0.027237734,south
111,1,4,4,0,AL,1658,163670.0,0.01013014,south
112,2,1,1,0,AL,1693,163670.0,0.010343985,south
113,2,2,1,0,AL,1361,163670.0,0.008315513,south
114,2,3,1,0,AL,1782,163670.0,0.010887762,south
115,2,4,1,0,AL,1483,163670.0,0.009060916,south
116,2,1,2,0,AL,1567,163670.0,0.009574143,south
117,2,2,2,0,AL,2120,163670.0,0.012952893,south
118,2,3,2,0,AL,1548,163670.0,0.009458056,south
119,2,4,2,0,AL,306,163670.0,0.0018696156,south
120,2,1,3,0,AL,1163,163670.0,0.0071057617,south
121,2,2,3,0,AL,1318,163670.0,0.00805279,south
122,2,3,3,0,AL,1008,163670.0,0.006158734,south
123,2,4,3,0,AL,140,163670.0,0.00085537974,south
124,2,1,4,0,AL,198,163670.0,0.0012097514,south
125,2,2,4,0,AL,454,163670.0,0.0027738742,south
126,2,3,4,0,AL,461,163670.0,0.0028166433,south
127,2,4,4,0,AL,108,163670.0,0.00065986434,south
128,3,1,1,0,AL,106,163670.0,0.0006476446,south
129,3,2,1,0,AL,74,163670.0,0.0004521293,south
130,3,3,1,0,AL,54,163670.0,0.00032993217,south
131,3,4,1,0,AL,20,163670.0,0.0001221971,south
132,3,1,2,0,AL,63,163670.0,0.0003849209,south
133,3,2,2,0,AL,61,163670.0,0.00037270118,south
134,3,3,2,0,AL,36,163670.0,0.00021995479,south
135,3,4,2,0,AL,5,163670.0,3.0549276e-05,south
136,3,1,3,0,AL,62,163670.0,0.00037881103,south
137,3,2,3,0,AL,68,163670.0,0.00041547016,south
138,3,3,3,0,AL,34,163670.0,0.00020773508,south
139,3,4,3,0,AL,3,163670.0,1.8329565e-05,south
140,3,1,4,0,AL,12,163670.0,7.331826e-05,south
141,3,2,4,0,AL,49,163670.0,0.0002993829,south
142,3,3,4,0,AL,34,163670.0,0.00020773508,south
143,3,4,4,0,AL,10,163670.0,6.109855e-05,south
144,1,1,1,1,AL,2248,163670.0,0.013734954,south
145,1,2,1,1,AL,2418,163670.0,0.01477363,south
146,1,3,1,1,AL,4172,163670.0,0.025490316,south
147,1,4,1,1,AL,6461,163670.0,0.039475776,south
148,1,1,2,1,AL,3017,163670.0,0.018433433,south
149,1,2,2,1,AL,5411,163670.0,0.033060428,south
150,1,3,2,1,AL,7631,163670.0,0.046624307,south
151,1,4,2,1,AL,4578,163670.0,0.027970918,south
152,1,1,3,1,AL,5018,163670.0,0.030659253,south
153,1,2,3,1,AL,5590,163670.0,0.03415409,south
154,1,3,3,1,AL,5417,163670.0,0.033097085,south
155,1,4,3,1,AL,2184,163670.0,0.013343924,south
156,1,1,4,1,AL,1815,163670.0,0.011089387,south
157,1,2,4,1,AL,4066,163670.0,0.024842672,south
158,1,3,4,1,AL,3602,163670.0,0.022007698,south
159,1,4,4,1,AL,1341,163670.0,0.008193316,south
160,2,1,1,1,AL,1371,163670.0,0.008376611,south
161,2,2,1,1,AL,1374,163670.0,0.008394941,south
162,2,3,1,1,AL,1922,163670.0,0.011743141,south
163,2,4,1,1,AL,2455,163670.0,0.014999694,south
164,2,1,2,1,AL,1662,163670.0,0.01015458,south
165,2,2,2,1,AL,2287,163670.0,0.013973239,south
166,2,3,2,1,AL,1877,163670.0,0.011468198,south
167,2,4,2,1,AL,611,163670.0,0.0037331216,south
168,2,1,3,1,AL,1968,163670.0,0.012024195,south
169,2,2,3,1,AL,2240,163670.0,0.013686076,south
170,2,3,3,1,AL,1421,163670.0,0.008682104,south
171,2,4,3,1,AL,285,163670.0,0.0017413087,south
172,2,1,4,1,AL,424,163670.0,0.0025905785,south
173,2,2,4,1,AL,847,163670.0,0.0051750476,south
174,2,3,4,1,AL,765,163670.0,0.0046740393,south
175,2,4,4,1,AL,290,163670.0,0.001771858,south
176,3,1,1,1,AL,61,163670.0,0.00037270118,south
177,3,2,1,1,AL,36,163670.0,0.00021995479,south
178,3,3,1,1,AL,51,163670.0,0.0003116026,south
179,3,4,1,1,AL,28,163670.0,0.00017107594,south
180,3,1,2,1,AL,51,163670.0,0.0003116026,south
181,3,2,2,1,AL,61,163670.0,0.00037270118,south
182,3,3,2,1,AL,34,163670.0,0.00020773508,south
183,3,4,2,1,AL,21,163670.0,0.00012830696,south
184,3,1,3,1,AL,77,163670.0,0.00047045885,south
185,3,2,3,1,AL,87,163670.0,0.0005315574,south
186,3,3,3,1,AL,36,163670.0,0.00021995479,south
187,3,4,3,1,AL,6,163670.0,3.665913e-05,south
188,3,1,4,1,AL,28,163670.0,0.00017107594,south
189,3,2,4,1,AL,41,163670.0,0.00025050406,south
190,3,3,4,1,AL,21,163670.0,0.00012830696,south
191,3,4,4,1,AL,10,163670.0,6.109855e-05,south
192,1,1,1,0,AR,1608,97869.0,0.016430127,south
193,1,2,1,0,AR,2074,97869.0,0.021191593,south
194,1,3,1,0,AR,2858,97869.0,0.029202301,south
195,1,4,1,0,AR,3220,97869.0,0.032901123,south
196,1,1,2,0,AR,3231,97869.0,0.03301352,south
197,1,2,2,0,AR,4762,97869.0,0.048656877,south
198,1,3,2,0,AR,4659,97869.0,0.04760445,south
199,1,4,2,0,AR,1949,97869.0,0.019914376,south
200,1,1,3,0,AR,2624,97869.0,0.02681135,south
201,1,2,3,0,AR,2893,97869.0,0.029559921,south
202,1,3,3,0,AR,3193,97869.0,0.032625243,south
203,1,4,3,0,AR,1161,97869.0,0.011862796,south
204,1,1,4,0,AR,700,97869.0,0.007152418,south
205,1,2,4,0,AR,1814,97869.0,0.01853498,south
206,1,3,4,0,AR,2437,97869.0,0.024900632,south
207,1,4,4,0,AR,940,97869.0,0.009604676,south
208,2,1,1,0,AR,497,97869.0,0.005078217,south
209,2,2,1,0,AR,461,97869.0,0.004710378,south
210,2,3,1,0,AR,614,97869.0,0.0062736925,south
211,2,4,1,0,AR,544,97869.0,0.0055584507,south
212,2,1,2,0,AR,637,97869.0,0.0065087005,south
213,2,2,2,0,AR,791,97869.0,0.008082232,south
214,2,3,2,0,AR,530,97869.0,0.0054154024,south
215,2,4,2,0,AR,100,97869.0,0.001021774,south
216,2,1,3,0,AR,374,97869.0,0.0038214347,south
217,2,2,3,0,AR,369,97869.0,0.003770346,south
218,2,3,3,0,AR,284,97869.0,0.0029018382,south
219,2,4,3,0,AR,44,97869.0,0.00044958055,south
220,2,1,4,0,AR,50,97869.0,0.000510887,south
221,2,2,4,0,AR,108,97869.0,0.001103516,south
222,2,3,4,0,AR,164,97869.0,0.0016757094,south
223,2,4,4,0,AR,38,97869.0,0.00038827411,south
224,3,1,1,0,AR,108,97869.0,0.001103516,south
